date,ticker,value
2002-02-21,dow,9834.6796875
2002-02-22,dow,9968.150390625
2002-02-25,dow,10145.7099609375
2002-02-26,dow,10115.259765625
2002-02-27,dow,10127.580078125
2002-02-28,dow,10106.1298828125
2002-03-01,dow,10368.8603515625
2002-03-04,dow,10586.8203125
2002-03-05,dow,10433.41015625
2002-03-06,dow,10574.2900390625
2002-03-07,dow,10525.3701171875
2002-03-08,dow,10572.490234375
2002-03-11,dow,10611.240234375
2002-03-12,dow,10632.349609375
2002-03-13,dow,10501.849609375
2002-03-14,dow,10517.1396484375
2002-03-15,dow,10607.23046875
2002-03-18,dow,10577.75
2002-03-19,dow,10635.25
2002-03-20,dow,10501.5703125
2002-03-21,dow,10479.83984375
2002-03-22,dow,10427.669921875
2002-03-25,dow,10281.669921875
2002-03-26,dow,10353.3603515625
2002-03-27,dow,10426.91015625
2002-03-28,dow,10403.9404296875
2002-04-01,dow,10362.7001953125
2002-04-02,dow,10313.7099609375
2002-04-03,dow,10198.2900390625
2002-04-04,dow,10235.169921875
2002-04-05,dow,10271.6396484375
2002-04-08,dow,10249.080078125
2002-04-09,dow,10208.669921875
2002-04-10,dow,10381.73046875
2002-04-11,dow,10176.080078125
2002-04-12,dow,10190.8203125
2002-04-15,dow,10093.669921875
2002-04-16,dow,10301.3203125
2002-04-17,dow,10220.7802734375
2002-04-18,dow,10205.2802734375
2002-04-19,dow,10257.1103515625
2002-04-22,dow,10136.4296875
2002-04-23,dow,10089.240234375
2002-04-24,dow,10030.4296875
2002-04-25,dow,10035.0595703125
2002-04-26,dow,9910.7197265625
2002-04-29,dow,9819.8701171875
2002-04-30,dow,9946.2197265625
2002-05-01,dow,10059.6298828125
2002-05-02,dow,10091.8701171875
2002-05-03,dow,10006.6298828125
2002-05-06,dow,9808.0400390625
2002-05-07,dow,9836.5498046875
2002-05-08,dow,10141.830078125
2002-05-09,dow,10037.419921875
2002-05-10,dow,9939.919921875
2002-05-13,dow,10109.66015625
2002-05-14,dow,10298.1396484375
2002-05-15,dow,10243.6796875
2002-05-16,dow,10289.2099609375
2002-05-17,dow,10353.080078125
2002-05-20,dow,10229.5
2002-05-21,dow,10105.7099609375
2002-05-22,dow,10157.8798828125
2002-05-23,dow,10216.080078125
2002-05-24,dow,10104.259765625
2002-05-28,dow,9981.580078125
2002-05-29,dow,9923.0400390625
2002-05-30,dow,9911.6904296875
2002-05-31,dow,9925.25
2002-06-03,dow,9709.7900390625
2002-06-04,dow,9687.83984375
2002-06-05,dow,9796.7998046875
2002-06-06,dow,9624.6396484375
2002-06-07,dow,9589.669921875
2002-06-10,dow,9645.400390625
2002-06-11,dow,9517.259765625
2002-06-12,dow,9617.7099609375
2002-06-13,dow,9502.7998046875
2002-06-14,dow,9474.2099609375
2002-06-17,dow,9687.419921875
2002-06-18,dow,9706.1201171875
2002-06-19,dow,9561.5703125
2002-06-20,dow,9431.76953125
2002-06-21,dow,9253.7900390625
2002-06-24,dow,9281.8203125
2002-06-25,dow,9126.8203125
2002-06-26,dow,9120.1103515625
2002-06-27,dow,9269.919921875
2002-06-28,dow,9243.259765625
2002-07-01,dow,9109.7900390625
2002-07-02,dow,9007.75
2002-07-03,dow,9054.9697265625
2002-07-05,dow,9379.5
2002-07-08,dow,9274.900390625
2002-07-09,dow,9096.08984375
2002-07-10,dow,8813.5
2002-07-11,dow,8801.5302734375
2002-07-12,dow,8684.5302734375
2002-07-15,dow,8639.1904296875
2002-07-16,dow,8473.1103515625
2002-07-17,dow,8542.48046875
2002-07-18,dow,8409.490234375
2002-07-19,dow,8019.259765625
2002-07-22,dow,7784.580078125
2002-07-23,dow,7702.33984375
2002-07-24,dow,8191.2900390625
2002-07-25,dow,8186.31005859375
2002-07-26,dow,8264.3896484375
2002-07-29,dow,8711.8798828125
2002-07-30,dow,8680.0302734375
2002-07-31,dow,8736.58984375
2002-08-01,dow,8506.6201171875
2002-08-02,dow,8313.1298828125
2002-08-05,dow,8043.6298828125
2002-08-06,dow,8274.08984375
2002-08-07,dow,8456.150390625
2002-08-08,dow,8712.01953125
2002-08-09,dow,8745.4501953125
2002-08-12,dow,8688.8896484375
2002-08-13,dow,8482.3896484375
2002-08-14,dow,8743.3095703125
2002-08-15,dow,8818.1396484375
2002-08-16,dow,8778.0595703125
2002-08-19,dow,8990.7900390625
2002-08-20,dow,8872.0703125
2002-08-21,dow,8957.23046875
2002-08-22,dow,9053.6396484375
2002-08-23,dow,8872.9599609375
2002-08-26,dow,8919.009765625
2002-08-27,dow,8824.41015625
2002-08-28,dow,8694.08984375
2002-08-29,dow,8670.990234375
2002-08-30,dow,8663.5
2002-09-03,dow,8308.0498046875
2002-09-04,dow,8425.1201171875
2002-09-05,dow,8283.7001953125
2002-09-06,dow,8427.2001953125
2002-09-09,dow,8519.3798828125
2002-09-10,dow,8602.6103515625
2002-09-11,dow,8581.169921875
2002-09-12,dow,8379.41015625
2002-09-13,dow,8312.6904296875
2002-09-16,dow,8380.1796875
2002-09-17,dow,8207.5498046875
2002-09-18,dow,8172.4501953125
2002-09-19,dow,7942.39013671875
2002-09-20,dow,7986.02001953125
2002-09-23,dow,7872.14990234375
2002-09-24,dow,7683.1298828125
2002-09-25,dow,7841.81982421875
2002-09-26,dow,7997.1201171875
2002-09-27,dow,7701.4501953125
2002-09-30,dow,7591.93017578125
2002-10-01,dow,7938.7900390625
2002-10-02,dow,7755.60986328125
2002-10-03,dow,7717.18994140625
2002-10-04,dow,7528.39990234375
2002-10-07,dow,7422.83984375
2002-10-08,dow,7501.490234375
2002-10-09,dow,7286.27001953125
2002-10-10,dow,7533.9501953125
2002-10-11,dow,7850.2900390625
2002-10-14,dow,7877.39990234375
2002-10-15,dow,8255.6796875
2002-10-16,dow,8036.02978515625
2002-10-17,dow,8275.0400390625
2002-10-18,dow,8322.400390625
2002-10-21,dow,8538.240234375
2002-10-22,dow,8450.16015625
2002-10-23,dow,8494.26953125
2002-10-24,dow,8317.33984375
2002-10-25,dow,8443.990234375
2002-10-28,dow,8368.0400390625
2002-10-29,dow,8368.9404296875
2002-10-30,dow,8427.41015625
2002-10-31,dow,8397.0302734375
2002-11-01,dow,8517.6396484375
2002-11-04,dow,8571.599609375
2002-11-05,dow,8678.26953125
2002-11-06,dow,8771.009765625
2002-11-07,dow,8586.240234375
2002-11-08,dow,8537.1298828125
2002-11-11,dow,8358.9501953125
2002-11-12,dow,8386.0
2002-11-13,dow,8398.490234375
